City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,San Patricio,US,2021-10-31 02:28:51,28.017,-97.5169,71.44,38,0,7.65,clear sky
106,Arman,RU,2021-10-31 02:28:52,59.7,150.1667,20.82,43,100,14.97,overcast clouds
107,Port Lincoln,AU,2021-10-31 02:28:52,-34.7333,135.8667,64.87,51,0,10.67,clear sky
108,Hithadhoo,MV,2021-10-31 02:25:32,-0.6,73.0833,82.65,76,100,19.98,overcast clouds
109,Hay River,CA,2021-10-31 02:28:52,60.8156,-115.7999,28.38,86,20,6.91,few clouds
110,Kahului,US,2021-10-31 02:26:09,20.8947,-156.47,85.26,69,20,10.36,few clouds
111,Panama City,PA,2021-10-31 02:28:53,8.9936,-79.5197,79.29,89,40,3.44,scattered clouds
112,Jinka,ET,2021-10-31 02:28:53,5.65,36.65,62.62,53,24,3.85,few clouds
113,Colares,PT,2021-10-31 02:28:53,38.7992,-9.4469,68.99,85,100,3.0,overcast clouds
114,Vao,NC,2021-10-31 02:28:54,-22.6667,167.4833,71.91,71,63,3.94,broken clouds
115,Brownwood,US,2021-10-31 02:28:54,31.7093,-98.9912,67.77,55,1,0.0,clear sky
116,Inverell,AU,2021-10-31 02:28:54,-29.7833,151.1167,75.67,51,1,5.99,clear sky
117,Cockburn Town,TC,2021-10-31 02:28:54,21.4612,-71.1419,82.62,63,61,10.85,broken clouds
118,Fort Nelson,CA,2021-10-31 02:25:33,58.8053,-122.7002,26.19,74,40,0.0,scattered clouds
119,Kotelnich,RU,2021-10-31 02:28:55,58.3089,48.348,42.31,96,100,6.69,overcast clouds
120,Saint-Philippe,RE,2021-10-31 02:28:55,-21.3585,55.7679,69.39,81,29,3.06,scattered clouds
121,Malkangiri,IN,2021-10-31 02:28:55,18.35,81.9,75.61,88,43,1.74,scattered clouds
122,Sioux Lookout,CA,2021-10-31 02:28:56,50.1001,-91.917,37.47,87,75,13.8,broken clouds
123,Thompson,CA,2021-10-31 02:26:33,55.7435,-97.8558,33.96,93,90,6.91,light intensity shower rain
124,Alofi,NU,2021-10-31 02:28:56,-19.0595,-169.9187,80.49,61,100,10.36,overcast clouds
125,Whakatane,NZ,2021-10-31 02:28:56,-37.9585,176.9854,69.51,86,100,8.01,overcast clouds
126,Shelburne,CA,2021-10-31 02:28:57,44.0787,-80.2041,45.23,100,100,6.02,overcast clouds
127,Kununurra,AU,2021-10-31 02:28:57,-15.7667,128.7333,91.38,49,40,10.36,scattered clouds
128,Isangel,VU,2021-10-31 02:25:27,-19.55,169.2667,86.11,58,42,5.75,scattered clouds
129,Lavrentiya,RU,2021-10-31 02:28:57,65.5833,-171.0,13.46,80,37,7.25,scattered clouds
130,Hovd,MN,2021-10-31 02:27:24,48.0056,91.6419,37.36,38,100,6.04,overcast clouds
131,Pindwara,IN,2021-10-31 02:28:58,24.8,73.0667,67.57,37,6,3.06,clear sky
132,Kabompo,ZM,2021-10-31 02:28:58,-13.5927,24.2008,68.5,65,35,3.15,scattered clouds
133,Swellendam,ZA,2021-10-31 02:28:59,-34.0226,20.4417,52.18,89,13,1.14,few clouds
134,Severo-Kurilsk,RU,2021-10-31 02:25:33,50.6789,156.125,42.6,81,66,16.22,broken clouds
135,Kaitangata,NZ,2021-10-31 02:28:32,-46.2817,169.8464,48.56,91,100,20.02,overcast clouds
136,Kavaratti,IN,2021-10-31 02:28:59,10.5669,72.642,81.79,73,98,2.86,overcast clouds
137,Norman Wells,CA,2021-10-31 02:28:59,65.282,-126.8329,21.24,93,20,6.91,few clouds
138,San Bernardo,CL,2021-10-31 02:29:00,-33.6,-70.7167,74.75,38,92,2.59,overcast clouds
139,Olafsvik,IS,2021-10-31 02:25:26,64.8945,-23.7142,40.89,77,56,23.49,broken clouds
140,Atuona,PF,2021-10-31 02:28:33,-9.8,-139.0333,78.35,70,20,12.15,few clouds
141,Arrecife,ES,2021-10-31 02:29:00,28.963,-13.5477,68.07,82,0,10.36,clear sky
142,Tasiilaq,GL,2021-10-31 02:30:01,65.6145,-37.6368,26.76,66,100,4.09,overcast clouds
143,Zhucheng,CN,2021-10-31 02:30:01,35.9947,119.3975,68.16,47,88,7.58,overcast clouds
144,Sancti Spiritus,CU,2021-10-31 02:30:02,21.9297,-79.4425,71.82,83,92,5.19,overcast clouds
145,Souillac,MU,2021-10-31 02:30:03,-20.5167,57.5167,73.36,94,75,3.44,broken clouds
146,Boyolangu,ID,2021-10-31 02:30:03,-8.1181,111.8935,86.56,64,96,6.06,light rain
147,Yellowknife,CA,2021-10-31 02:25:28,62.456,-114.3525,28.42,95,75,6.91,broken clouds
148,Maykor,RU,2021-10-31 02:30:04,59.0059,55.88,31.08,97,99,4.97,overcast clouds
149,Cherskiy,RU,2021-10-31 02:30:05,68.75,161.3,2.19,97,100,6.31,light snow
150,Tarko-Sale,RU,2021-10-31 02:30:06,64.9225,77.785,10.49,94,100,12.91,overcast clouds
151,Touros,BR,2021-10-31 02:30:06,-5.1989,-35.4608,77.9,75,95,14.29,overcast clouds
152,Hasaki,JP,2021-10-31 02:30:07,35.7333,140.8333,62.89,71,85,11.65,light rain
153,Cuamba,MZ,2021-10-31 02:30:08,-14.8031,36.5372,70.41,56,0,3.94,clear sky
154,Leh,IN,2021-10-31 02:28:53,34.1667,77.5833,22.93,55,4,4.09,clear sky
155,Tiksi,RU,2021-10-31 02:30:09,71.6872,128.8694,13.53,74,100,13.85,overcast clouds
156,Provideniya,RU,2021-10-31 02:30:10,64.3833,-173.3,12.74,73,88,11.56,overcast clouds
157,Sao Filipe,CV,2021-10-31 02:30:10,14.8961,-24.4956,79.95,72,100,12.12,overcast clouds
158,Ancud,CL,2021-10-31 02:30:11,-41.8697,-73.8203,49.53,67,0,4.79,clear sky
159,Grindavik,IS,2021-10-31 02:30:11,63.8424,-22.4338,39.67,87,0,13.8,clear sky
160,Bambous Virieux,MU,2021-10-31 02:30:12,-20.3428,57.7575,73.22,94,75,3.44,broken clouds
161,Baykit,RU,2021-10-31 02:30:12,61.67,96.37,18.48,87,100,11.39,overcast clouds
162,Mahebourg,MU,2021-10-31 02:30:12,-20.4081,57.7,73.26,94,75,3.44,broken clouds
163,Fershampenuaz,RU,2021-10-31 02:30:13,53.5202,59.8117,40.96,92,100,12.8,overcast clouds
164,Almeirim,BR,2021-10-31 02:30:13,-1.5233,-52.5817,75.67,79,9,4.25,clear sky
165,Puri,IN,2021-10-31 02:28:21,19.8,85.85,81.37,73,92,6.98,overcast clouds
166,Mount Gambier,AU,2021-10-31 02:30:14,-37.8333,140.7667,62.51,51,75,11.5,broken clouds
167,Sitka,US,2021-10-31 02:30:14,57.0531,-135.33,46.29,66,40,5.75,scattered clouds
168,Westport,US,2021-10-31 02:30:14,41.1415,-73.3579,58.75,95,90,1.99,light rain
169,Richards Bay,ZA,2021-10-31 02:30:15,-28.783,32.0377,61.07,83,9,6.04,clear sky
170,Alpena,US,2021-10-31 02:30:15,45.0617,-83.4327,51.19,95,90,0.0,overcast clouds
171,Porto-Vecchio,FR,2021-10-31 02:30:15,41.591,9.2795,64.06,94,90,9.22,overcast clouds
172,Marevo,RU,2021-10-31 02:30:16,57.3146,32.0804,44.92,82,10,9.15,clear sky
173,Sorel,CA,2021-10-31 02:30:16,46.0418,-73.1136,51.08,99,100,7.0,moderate rain
174,Micheweni,TZ,2021-10-31 02:30:16,-4.9667,39.8333,77.45,80,24,6.29,few clouds
175,Staryy Nadym,RU,2021-10-31 02:30:17,65.6118,72.6842,7.48,93,100,16.42,overcast clouds
176,Liverpool,GB,2021-10-31 02:30:17,53.4106,-2.9779,47.68,89,99,3.0,overcast clouds
177,Esperance,AU,2021-10-31 02:30:17,-33.8667,121.9,78.64,40,2,4.56,clear sky
178,Chazuta,PE,2021-10-31 02:30:18,-6.5742,-76.1367,77.85,76,50,0.92,scattered clouds
179,Los Llanos De Aridane,ES,2021-10-31 02:26:15,28.6585,-17.9182,63.12,71,0,4.0,clear sky
180,Klaksvik,FO,2021-10-31 02:30:18,62.2266,-6.589,40.12,90,100,8.25,overcast clouds
181,Guider,CM,2021-10-31 02:30:19,9.9342,13.9486,82.24,53,94,1.99,overcast clouds
182,Jamestown,US,2021-10-31 02:30:19,42.097,-79.2353,51.08,98,90,0.0,overcast clouds
183,Victoria,HK,2021-10-31 02:27:15,22.2855,114.1577,77.38,78,96,1.01,overcast clouds
184,San Antonio,US,2021-10-31 02:31:19,29.4241,-98.4936,69.28,55,1,4.61,clear sky
185,Palafrugell,ES,2021-10-31 02:31:20,41.9174,3.1631,62.71,95,100,5.66,overcast clouds
186,Umm Lajj,SA,2021-10-31 02:29:15,25.0213,37.2685,82.18,51,6,5.28,clear sky
187,Chokurdakh,RU,2021-10-31 02:31:20,70.6333,147.9167,-0.47,98,99,6.67,overcast clouds
188,Pevek,RU,2021-10-31 02:31:21,69.7008,170.3133,-1.37,96,100,9.75,overcast clouds
189,Cape Girardeau,US,2021-10-31 02:31:00,37.3834,-89.7168,51.35,84,10,6.78,clear sky
190,Ust-Nera,RU,2021-10-31 02:31:21,64.5667,143.2,-3.33,97,80,4.59,broken clouds
191,Anadyr,RU,2021-10-31 02:31:22,64.75,177.4833,7.3,92,90,20.0,snow
192,Moundou,TD,2021-10-31 02:31:22,8.5667,16.0833,74.57,67,100,3.56,overcast clouds
193,Seoul,KR,2021-10-31 02:26:48,37.5683,126.9778,62.11,67,20,3.44,few clouds
194,Vincennes,FR,2021-10-31 02:30:04,48.85,2.4333,50.94,96,0,4.61,clear sky
195,Sadiqabad,PK,2021-10-31 02:31:22,28.3062,70.1307,78.17,14,0,9.98,clear sky
196,Tateyama,JP,2021-10-31 02:31:23,34.9833,139.8667,63.1,87,100,1.79,light rain
197,Acara,BR,2021-10-31 02:31:23,-1.9608,-48.1967,74.46,96,100,3.31,overcast clouds
198,Koping,SE,2021-10-31 02:31:23,59.514,15.9926,45.84,96,100,4.74,overcast clouds
199,Samarai,PG,2021-10-31 02:31:24,-10.6167,150.6667,84.16,76,100,12.86,overcast clouds
200,Bathsheba,BB,2021-10-31 02:31:24,13.2167,-59.5167,81.21,74,20,18.41,few clouds
201,Marsh Harbour,BS,2021-10-31 02:31:24,26.5412,-77.0636,77.25,71,51,12.33,broken clouds
202,Nakusp,CA,2021-10-31 02:31:25,50.2499,-117.8023,30.54,93,0,3.44,clear sky
203,Dalvik,IS,2021-10-31 02:31:25,65.9702,-18.5286,37.33,98,100,13.73,overcast clouds
204,Camacha,PT,2021-10-31 02:31:25,33.0833,-16.3333,67.42,88,40,5.75,scattered clouds
